symbol,net_profitability_results_error_message,simulation_results_error_message,simulation_results_decision_outcome
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
XEC/USDT,V2: XEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: XEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ODDZ/USDT,V2: ODDZ/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ODDZ/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
MIX/USDT,V2: MIX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: MIX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
COTI/USDT,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONE/USDT,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SWAP/USDT,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRV/USDT,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CSPR/USDT,V2: CSPR/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CSPR/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
POLIS/USDT,V2: POLIS/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: POLIS/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
COTI/USDT,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONE/USDT,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SWAP/USDT,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRV/USDT,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
HTR/USDT,V2: HTR/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: HTR/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
MIX/USDT,V2: MIX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: MIX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SWAP/USDT,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRV/USDT,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
HTR/USDT,V2: HTR/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: HTR/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
HGET/USDT,V2: HGET/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: HGET/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
UFT/USDT,V2: UFT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: UFT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
COTI/USDT,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONE/USDT,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SWAP/USDT,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ICP/USDT,V2: ICP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ICP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
HTR/USDT,V2: HTR/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: HTR/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ODDZ/USDT,V2: ODDZ/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ODDZ/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
POLIS/USDT,V2: POLIS/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: POLIS/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
UFT/USDT,V2: UFT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: UFT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONE/USDT,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SWAP/USDT,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ICP/USDT,V2: ICP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ICP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
HGET/USDT,V2: HGET/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: HGET/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
MIX/USDT,V2: MIX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: MIX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ROUTE/USDT,V2: ROUTE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ROUTE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
